Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
OneDosh,https://www.crunchbase.com/organization/onedosh,2026-01-21,Pre-Seed,11-50,"New York, New York, United States",OneDosh lets users send and receive payments globally by providing a multi-wallet system that supports fiat and stablecoin,3000000,USD,3000000,Mb Sa,https://onedosh.com
RouteSense,https://www.crunchbase.com/organization/routesense,2026-01-15,Pre-Seed,1-10,"Salt Lake City, Utah, United States","RouteSense provides real-time MID health monitoring and intelligent transaction routing for merchants, PSPs, ISOs and acquirers.",2000000,USD,2000000,Redbud VC,https://routesense.ai
Playad.ai,https://www.crunchbase.com/organization/gigr,2026-01-22,Pre-Seed,1-10,"South San Francisco, Pennsylvania, United States",Playad.ai develops an AI-native marketing platform for multi-agent ad workflows and interactive ad creatives.,5400000,USD,5400000,"BRV Capital Management, Mirae Asset Venture Investment",https://playad.ai
RiskFront,https://www.crunchbase.com/organization/riskfront,2026-01-21,Pre-Seed,11-50,"Los Angeles, California, United States",Agentic AI systems for financial crime operational tasks and workflows.,3300000,USD,3300000,Lytical Ventures,https://riskfront.ai/
Saptiva AI,https://www.crunchbase.com/organization/saptiva,2026-01-31,Pre-Seed,11-50,"Mexico City, Distrito Federal, Mexico","AI infrastructure for Mexico and LATAM — national compute, orchestration, and model systems built for secure, local deployment.",,,,,https://www.saptiva.com
Overworld,https://www.crunchbase.com/organization/overworld-5c51,2026-01-20,Pre-Seed,11-50,"Providence, Rhode Island, United States","Overworld is a research and development studio that creates real-time, local-first diffusion world models.",4500000,USD,4500000,Kindred Ventures,https://over.world/
Nucleus 4D,https://www.crunchbase.com/organization/nucleus-4d,2026-01-20,Pre-Seed,1-10,"Austin, Texas, United States",Digitizing every space into a living 3D revenue engine,1500000,USD,1500000,"Antler, South Loop Ventures",https://www.nucleus4d.com/
Corvera.ai,https://www.crunchbase.com/organization/corvera-ai,2026-01-18,Pre-Seed,,"San Francisco, California, United States",Corvera.ai is an autonomous operations layer that automates supply chain and operational tasks for consumer packaged goods companies.,1500000,GBP,2010306,"Firstminute Capital, Y Combinator",https://www.corvera.ai
Breez AI,https://www.crunchbase.com/organization/breez-ai,2026-01-22,Pre-Seed,11-50,"Wilmington, Delaware, United States",Breez AI offers a no-code voice orchestration platform enabling enterprises to deploy real-time Voice AI across phone operations.,1300000,USD,1300000,Wamda Capital,https://www.heybreez.ai/
Asymmetric Security,https://www.crunchbase.com/organization/asymmetric-security,2026-01-23,Pre-Seed,1-10,"San Francisco, California, United States",Asymmetric Security is an AI-native cybersecurity startup specializing in digital forensics and incident response.,4200000,USD,4200000,Susa Ventures,https://www.asymmetricsecurity.com/
