Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Deepgram,https://www.crunchbase.com/organization/deepgram,2026-01-13,Series C,101-250,"San Francisco, California, United States","Deepgram provides a voice artificial intelligence platform for speech-to-text, text-to-speech, and voice applications.",143168046,USD,143168046,"Alkeon Capital, AVP, Boost VC, Compound, IQT, Madrona, Tiger Global Management, Wing Venture Capital, Y Combinator",https://deepgram.com
Emergent,https://www.crunchbase.com/organization/emergent-02ef,2026-01-20,Series B,101-250,"Pleasanton, California, United States",Emergent is an AI-powered software creation platform that enables users to build full-stack web and mobile applications.,70000000,USD,70000000,"Google AI Futures Fund, Khosla Ventures, Lightspeed Venture Partners, SoftBank Vision Fund, Together Fund, Y Combinator",https://app.emergent.sh
Upwind Security,https://www.crunchbase.com/organization/upwind-security,2026-01-26,Series B,251-500,"San Francisco, California, United States","Upwind Security provides unified cloud and application security, using real-time visibility to identify threats and protect data integrity.",250000000,USD,250000000,"Bessemer Venture Partners, Craft Ventures, Cyberstarts, Greylock, Leaders Fund",https://www.upwind.io
Waabi,https://www.crunchbase.com/organization/waabi,2026-01-28,Series C,101-250,"Toronto, Ontario, Canada",Waabi develops autonomous driving technology and physical artificial intelligence systems for the transportation sector.,750000000,USD,750000000,"G2 Venture Partners, Khosla Ventures, Uber, Volvo Group Venture Capital",https://waabi.ai
Noveon Magnetics,https://www.crunchbase.com/organization/urban-mining-company,2026-01-19,Series C,51-100,"San Marcos, Texas, United States",Noveon Magnetics manufactures EcoFlux rare earth permanent magnets that support electrification and low-carbon technology applications.,215000000,USD,215000000,"Aventurine Partners, NGP Energy Capital Management, One Investment Management, U.S. Department of Defense",https://noveon.co
Rain,https://www.crunchbase.com/organization/rain-855d,2026-01-09,Series C,101-250,"New York, New York, United States","Rain is a fintech company that builds stablecoin-powered payment infrastructure, allowing businesses and individuals to use tokenized money.",250000000,USD,250000000,"ICONIQ Capital, Norwest, Sapphire Ventures",https://www.rain.xyz
Zocks,https://www.crunchbase.com/organization/zocks,2026-01-26,Series B,101-250,"San Francisco, California, United States",Zocks is an AI-powered assistant specifically for financial advisors that automate routine tasks and capture client insights.,45000000,USD,45000000,"Lightspeed Venture Partners, Motive Ventures, QED Investors",https://zocks.io/
Rogo,https://www.crunchbase.com/organization/rogo,2026-01-28,Series C,101-250,"New York, New York, United States","Rogo provides an enterprise AI platform for automating research, workflows, and document creation in finance.",75000000,USD,75000000,"AlleyCorp, FinTech Sandbox, Khosla Ventures, Sequoia Capital, Thrive Capital",https://rogo.ai
Northwood Space,https://www.crunchbase.com/organization/northwood-space,2026-01-27,Series B,101-250,"Torrance, California, United States",Northwood Space designs ground infrastructure for spacecraft communication and data handling with deployable systems for connectivity.,100000000,USD,100000000,"Alpine Space Ventures, Andreessen Horowitz, Founders Fund, Harvard Innovation Labs, Washington Harbour Partners",https://www.northwoodspace.io
Outtake,https://www.crunchbase.com/organization/outtake,2026-01-28,Series B,11-50,"Brooklyn, New York, United States","Outtake is a digital trust platform automating threat classification, detection, and response to enhance enterprise cybersecurity measures.",40000000,USD,40000000,"CRV, ICONIQ Capital",https://www.outtake.ai
Benepass,https://www.crunchbase.com/organization/benepass,2026-01-21,Series B,51-100,"New York, New York, United States",Benepass is a benefits administration platform that helps companies manage and distribute employee perks and benefits.,40000000,USD,40000000,"Centana Growth Partners, Gradient, Portage Ventures, Threshold, Y Combinator",http://www.getbenepass.com
Mesh,https://www.crunchbase.com/organization/meshconnectapi,2026-01-27,Series C,101-250,"San Francisco, California, United States","Mesh is a global crypto payments network that enables easy payment across hundreds of exchanges, wallets, and providers",75000000,USD,75000000,"Dragonfly, Moderne Passport, Money Forward, Paradigm, QuantumLight, Rembrandt Venture Partners, Streamlined",https://meshpay.com
