Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
humans&,https://www.crunchbase.com/organization/humans-36f3,2026-01-20,Seed,11-50,"Redwood City, California, United States",humans& operates as a frontier artificial intelligence research and product lab focused on human-centered AI systems and interaction models.,480000000,USD,480000000,"Georges Harik, SV Angel",https://humansand.ai
Emobi,https://www.crunchbase.com/organization/emobi-2b3b,2026-01-28,Seed,11-50,"San Francisco, California, United States","Emobi is an electric vehicle company that designs, manufactures, and markets zero-emission urban mobility solutions.",3400000,USD,3400000,"Florida Funders, U.S. Venture Sustainability Accelerator, Y Combinator",https://www.emobi.ai
Dominion Dynamics,https://www.crunchbase.com/organization/dominion-dynamics,2026-01-19,Seed,1-10,"Ottawa, Ontario, Canada",Dominion Dynamics builds platforms that integrate sensor data and autonomous assets for real-time command and control.,21000000,CAD,15109425,"BCI, Bessemer Venture Partners, Georgian",https://www.dominion-dynamics.com
Inferact,https://www.crunchbase.com/organization/inferact,2026-01-22,Seed,11-50,"San Francisco, California, United States",Inferact mission is to accelerate AI progress by making inference cheaper and faster.,150000000,USD,150000000,"Andreessen Horowitz, Lightspeed Venture Partners",https://inferact.ai/
Haiqu,https://www.crunchbase.com/organization/haiqu,2026-01-13,Seed,1-10,"Stanford, California, United States",Haiqu is a quantum computing software firm focusing on the development.,11000000,USD,11000000,"Google for Startups, MaC Venture Capital, Primary Venture Partners, Seeds of Bravery",https://www.haiqu.ai
AheadComputing,https://www.crunchbase.com/organization/aheadcomputing,2026-01-21,Seed,101-250,"Beaverton, Oregon, United States",AheadComputing is a microarchitecture compute performance company that develops microprocessor core design and related technologies.,30000000,USD,30000000,"Cambium Capital Partners, Eclipse Ventures, Toyota Ventures",https://www.aheadcomputing.com
DexMat,https://www.crunchbase.com/organization/dexmat,2026-01-28,Seed,11-50,"Houston, Texas, United States","DexMat is the maker of Galvorn, a conductive carbon nanomaterial that outperforms GHG-intense alternatives.",5000000,USD,5000000,"non sibi ventures, Shell Ventures, Third Derivative",https://dexmat.com/
Interlune,https://www.crunchbase.com/organization/interlune,2026-01-28,Seed,11-50,"Estes Park, Colorado, United States",Interlune is a space material extraction company that extracts and commercializes space resources for Earth.,500000,USD,500000,"NASA, National Science Foundation, Seven Seven Six, Texas Space Commission, US Department of Energy",https://www.interlune.space
Mave,https://www.crunchbase.com/organization/mave,2026-01-20,Seed,1-10,"Toronto, Ontario, Canada",Mave is an AI startup empowering real estate agents with innovative tools to enhance client service and streamline processes.,5000000,USD,5000000,"N49P, Relay Ventures, Staircase Ventures",https://www.maveai.co
Ammobia,https://www.crunchbase.com/organization/ammobia,2026-01-13,Seed,1-10,"San Francisco, California, United States",Ammobia is a chemical manufacturing company that specializes in the clean production of ammonia through renewable hydrogen and air.,7500000,USD,7500000,Starlight Ventures,https://www.ammobia.co
Proxima,https://www.crunchbase.com/organization/vantai,2026-01-13,Seed,11-50,"New York, New York, United States",Proxima Bio develops programmable medicines that modulate protein interactions to address disease processes.,86264999,USD,86264999,DCVC,https://proximabio.com
Merge Labs,https://www.crunchbase.com/organization/merge-labs-0270,2026-01-15,Seed,11-50,"San Francisco, California, United States",Merge Labs provides a single API to connect software applications with multiple third-party platforms.,252000000,USD,252000000,OpenAI,https://merge.io/
Sentient,https://www.crunchbase.com/organization/sentient-f024,2026-01-27,Seed,1-10,"San Francisco, California, United States",Sentient builds an open-source artificial general intelligence ecosystem that supports collaborative AI research and development.,,,,"Founders Fund, Framework Ventures, Franklin Templeton, Pantera Capital",https://sentient.foundation
Symbiotic Security,https://www.crunchbase.com/organization/symbiotic-security,2026-01-22,Seed,11-50,"New York, New York, United States",Symbiotic Security is a Cybersecurity Solution,10000000,USD,10000000,Alven,https://www.symbioticsec.ai
Bolna,https://www.crunchbase.com/organization/whismurwave-inc,2026-01-20,Seed,1-10,"Dover, Delaware, United States","Bolna offers voice AI agents that transforms business to qualify leads, boost sales, automate customer support, and streamline recruitment.",6300000,USD,6300000,"General Catalyst, Upekkha Vertical AI Accelerator",https://www.bolna.ai/
Nexxa.ai,https://www.crunchbase.com/organization/nexxa-ai,2026-01-21,Seed,11-50,"Sunnyvale, California, United States",Specialized Artificial Intelligence for Heavy Industries,9000000,USD,9000000,"A16Z GAMES Speedrun, Amazon Web Services, Construct Capital",https://nexxa.ai
Yuki,https://www.crunchbase.com/organization/yuki-d0fe,2026-01-22,Seed,1-10,"Wilmington, Delaware, United States",Real-time Optimization Platform for Snowflake that eliminates waste and maximizes efficiency at scale.,6000000,USD,6000000,Hyperwise Ventures,https://yukidata.com
Barnwell Bio,https://www.crunchbase.com/organization/barnwell-bio,2026-01-26,Seed,1-10,"Brooklyn, New York, United States",Barnwell Bio analyzes waste streams for insights into animal health and farm management.,6000000,USD,6000000,"Alumni Ventures, Twelve Below",https://www.barnwellbio.com
NANOCHON,https://www.crunchbase.com/organization/nanochon,2026-01-12,Seed,1-10,"Washington, District of Columbia, United States",Nanochon develops medical implant technology focused on cartilage repair for patients with joint surface damage.,4100000,USD,4100000,"Creative Destruction Lab (CDL), cultivate(MD), Maryland Stem Cell Research Fund (MSCRF), MedTech Innovator, National Science Foundation, UVA Licensing & Ventures Group",https://www.nanochon.com
Chamelio,https://www.crunchbase.com/organization/chamelio,2026-01-27,Seed,11-50,"New York, New York, United States","Chamelio is the modern and intuitive way to negotiate, collaborate, monitor, and streamline your legal workflows",10000000,USD,10000000,"Emerge Ventures, Work-Bench",https://chamelio.ai
Risotto,https://www.crunchbase.com/organization/risotto-85d1,2026-01-27,Seed,1-10,"San Francisco, California, United States","Risotto is an AI ChatOps for IT support, boosting efficiency and security with instant resolution and 24/7 automation, all via chat.",10000000,USD,10000000,"Bonfire Ventures, Y Combinator",https://www.tryrisotto.com
Trestle,https://www.crunchbase.com/organization/trestle-eff8,2026-01-05,Seed,1-10,"New York, New York, United States",Trestle is a construction technology company that unifies fragmented contracting and procurement workflows into a single digital platform.,3300000,USD,3300000,Lerer Hippeau,https://www.gotrestle.com
Maia Farms,https://www.crunchbase.com/organization/maia-farms,2026-01-19,Seed,1-10,"Vancouver, British Columbia, Canada",Maia Farms is a food technology company developing mushroom and mycelium-based ingredients using liquid-state fermentation.,3750000,USD,3750000,"Active Impact Investments, Joyful Ventures, Koan Capital, PIC Investment Group, The Industry Innovation Fund (I²)",https://maiafarms.ca
DigitalXForce,https://www.crunchbase.com/organization/digitalxforce,2026-01-01,Seed,51-100,"Southlake, Texas, United States",DigitalXForce is a cybersecurity company offering a platform for automated risk management and compliance.,5000000,USD,5000000,"Innovating Capital, Kapital.io",https://digitalxforce.com
Limy AI,https://www.crunchbase.com/organization/limy-ai,2026-01-28,Seed,1-10,"New York, New York, United States",Limy AI is a software development company that offers brand marketing services using AI.,10000000,USD,10000000,"Deloitte Launchpad, Flybridge",https://www.limy.ai/
