Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
OneDosh,https://www.crunchbase.com/organization/onedosh,2026-01-21,Pre-Seed,11-50,"New York, New York, United States",OneDosh lets users send and receive payments globally by providing a multi-wallet system that supports fiat and stablecoin,3000000,USD,3000000,Mb Sa,https://onedosh.com
Autonomous Technologies Group,https://www.crunchbase.com/organization/autonomous-technologies-group,2026-01-07,Pre-Seed,1-10,"New York, New York, United States",Autonomous is an AI-powered fintech company that helps users manage investments and financial decisions independently.,15000000,USD,15000000,"BoxGroup, Y Combinator",https://becomeautonomous.xyz/
RouteSense,https://www.crunchbase.com/organization/routesense,2026-01-15,Pre-Seed,1-10,"Salt Lake City, Utah, United States","RouteSense provides real-time MID health monitoring and intelligent transaction routing for merchants, PSPs, ISOs and acquirers.",2000000,USD,2000000,Redbud VC,https://routesense.ai
Hardline,https://www.crunchbase.com/organization/hardline-31ab,2026-01-01,Pre-Seed,1-10,"Los Angeles, California, United States","Hardline: a mobile-first, voice-powered app that turns jobsite calls & walkthroughs into clear, actionable project data",2000000,USD,2000000,,https://www.hardlineapp.com/
Diffraqtion,https://www.crunchbase.com/organization/diffraqtion,2026-01-12,Pre-Seed,1-10,"Somerville, Massachusetts, United States",Diffraqtion is a tech company that develops quantum imaging technology with low-energy sensors and AI.,4200000,USD,4200000,"Cherry Ventures, General Catalyst, QDNL Participations",https://diffraqtion.com
Nodes Inc,https://www.crunchbase.com/organization/nodes-inc,2026-01-13,Pre-Seed,11-50,"New York, New York, United States","AI decisioning infrastructure for enterprise hiring; deploy in your VPC, own your data, nothing ever goes to Open AI.",,,,"LAUNCH, Nama Ventures",https://nodes.inc
Arkero,https://www.crunchbase.com/organization/arkero,2026-01-29,Pre-Seed,1-10,"Seattle, Washington, United States","Arkero is an AI-native platform designed for sports businesses, focusing on planning gamedays, driving renewals, and coordinating teams.",6000000,USD,6000000,Game Changers Ventures,https://www.arkero.ai
MITO AI,https://www.crunchbase.com/organization/mito-ai,2026-01-29,Pre-Seed,1-10,"New York, New York, United States",MITO is a filmmaking platform built on artificial intelligence.,4500000,USD,4500000,Lightspeed Venture Partners,https://mito.ai
Saptiva AI,https://www.crunchbase.com/organization/saptiva,2026-01-31,Pre-Seed,11-50,"Mexico City, Distrito Federal, Mexico","AI infrastructure for Mexico and LATAM — national compute, orchestration, and model systems built for secure, local deployment.",,,,,https://www.saptiva.com
Collective OS,https://www.crunchbase.com/organization/collective-os,2026-01-28,Pre-Seed,11-50,"Miami, Florida, United States","Collective OS is a data partnership platform, empowering professional service firms to flex their capabilities through shared services.",2500000,USD,2500000,,https://JoinCollectiveOS.com
